,,,,,"Measures","Weighted Sum of Income Distribution - Whole Population","Weighted Sum of Income Distribution - Whole Population - RSE","Weighted Sum of Income Distribution - Whole Population - Annotations",
,,,,,"Northern Ireland (N92000002)",12144,0.00,,
,,"In low income (below threshold)","Not in receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",8345,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",1317,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",2756,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",18234,0.00,,
,,,,,"North West (E12000002)",76748,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",43353,0.00,,
,,,,,"East Midlands (E12000004)",33643,0.00,,
,,,,,"West Midlands (E12000005)",73064,0.00,,
,,,,,"East (E12000006)",65738,0.00,,
,,,,,"London (E12000007)",102277,0.00,,
,,,,,"South East (E12000008)",128289,0.00,,
,,,,,"South West (E12000009)",60996,0.00,,
,,,,,"Wales (W92000004)",27422,0.00,,
,,,,,"Scotland (S92000003)",32489,0.00,,
,,,,,"Northern Ireland (N92000002)",18812,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",22473,0.00,,
,,,,,"North West (E12000002)",37904,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",42888,0.00,,
,,,,,"East Midlands (E12000004)",33246,0.00,,
,,,,,"West Midlands (E12000005)",69535,0.00,,
,,,,,"East (E12000006)",32770,0.00,,
,,,,,"London (E12000007)",94562,0.00,,
,,,,,"South East (E12000008)",88864,0.00,,
,,,,,"South West (E12000009)",38035,0.00,,
,,,,,"Wales (W92000004)",18756,0.00,,
,,,,,"Scotland (S92000003)",35847,0.00,,
,,,,,"Northern Ireland (N92000002)",2388,0.00,,
,,,,"All rented privately","North East (E12000001)",4252,0.00,,
,,,,,"North West (E12000002)",27068,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",71203,0.00,,
,,,,,"East Midlands (E12000004)",83888,0.00,,
,,,,,"West Midlands (E12000005)",51771,0.00,,
,,,,,"East (E12000006)",30193,0.00,,
,,,,,"London (E12000007)",120595,0.00,,
,,,,,"South East (E12000008)",109191,0.00,,
,,,,,"South West (E12000009)",34884,0.00,,
,,,,,"Wales (W92000004)",14990,0.00,,
,,,,,"Scotland (S92000003)",27379,0.00,,
,,,,,"Northern Ireland (N92000002)",3981,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",1674,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",70115,0.00,,
,,,,,"North West (E12000002)",134363,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",53018,0.00,,
,,,,,"East Midlands (E12000004)",28271,0.00,,
,,,,,"West Midlands (E12000005)",90718,0.00,,
,,,,,"East (E12000006)",129951,0.00,,
,,,,,"London (E12000007)",256850,0.00,,
,,,,,"South East (E12000008)",164944,0.00,,
,,,,,"South West (E12000009)",91836,0.00,,
,,,,,"Wales (W92000004)",44514,0.00,,
,,,,,"Scotland (S92000003)",70682,0.00,,
,,,,,"Northern Ireland (N92000002)",6115,0.00,,
,,,,"All rented privately","North East (E12000001)",13854,0.00,,
,,,,,"North West (E12000002)",59083,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",40845,0.00,,
,,,,,"East Midlands (E12000004)",14653,0.00,,
,,,,,"West Midlands (E12000005)",34359,0.00,,
,,,,,"East (E12000006)",42708,0.00,,
,,,,,"London (E12000007)",108239,0.00,,
,,,,,"South East (E12000008)",59712,0.00,,
,,,,,"South West (E12000009)",57234,0.00,,
,,,,,"Wales (W92000004)",32220,0.00,,
,,,,,"Scotland (S92000003)",20660,0.00,,
,,,,,"Northern Ireland (N92000002)",10306,0.00,,
,"In low income (below threshold)","Not in low income (at or above threshold)","Not in receipt","Owned outright","North East (E12000001)",31294,0.00,,
,,,,,"North West (E12000002)",98227,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",69838,0.00,,
,,,,,"East Midlands (E12000004)",57065,0.00,,
,,,,,"West Midlands (E12000005)",65712,0.00,,
,,,,,"East (E12000006)",78755,0.00,,
,,,,,"London (E12000007)",53929,0.00,,
,,,,,"South East (E12000008)",79650,0.00,,
,,,,,"South West (E12000009)",82238,0.00,,
,,,,,"Wales (W92000004)",43070,0.00,,
,,,,,"Scotland (S92000003)",52196,0.00,,
,,,,,"Northern Ireland (N92000002)",22986,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",3513,0.00,,
,,,,,"North West (E12000002)",9938,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",2755,0.00,,
,,,,,"East Midlands (E12000004)",6363,0.00,,
,,,,,"West Midlands (E12000005)",5354,0.00,,
,,,,,"East (E12000006)",3701,0.00,,
,,,,,"London (E12000007)",2917,0.00,,
,,,,,"South East (E12000008)",4745,0.00,,
,,,,,"South West (E12000009)",12188,0.00,,
,,,,,"Wales (W92000004)",4477,0.00,,
,,,,,"Scotland (S92000003)",8077,0.00,,
,,,,,"Northern Ireland (N92000002)",1689,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",732,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",1148,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",922,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",695,0.00,,
,,,,,"Scotland (S92000003)",1661,0.00,,
,,,,,"Northern Ireland (N92000002)",1176,0.00,,
,,,,"All rented privately","North East (E12000001)",3336,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",5171,0.00,,
,,,,,"East Midlands (E12000004)",2582,0.00,,
,,,,,"West Midlands (E12000005)",8683,0.00,,
,,,,,"East (E12000006)",7851,0.00,,
,,,,,"London (E12000007)",864,0.00,,
,,,,,"South East (E12000008)",14636,0.00,,
,,,,,"South West (E12000009)",3095,0.00,,
,,,,,"Wales (W92000004)",1897,0.00,,
,,,,,"Scotland (S92000003)",2675,0.00,,
,,,,,"Northern Ireland (N92000002)",1806,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",778,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",1121,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",2901,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",1914,0.00,,
,,,,,"London (E12000007)",4262,0.00,,
,,,,,"South East (E12000008)",1234,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",4806,0.00,,
,,,,,"Northern Ireland (N92000002)",1321,0.00,,
,,,,"All rented privately","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",627,0.00,,
,,"In low income (below threshold)","Not in receipt","Owned outright","North East (E12000001)",90781,0.00,,
,,,,,"North West (E12000002)",301631,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",222253,0.00,,
,,,,,"East Midlands (E12000004)",207082,0.00,,
,,,,,"West Midlands (E12000005)",247252,0.00,,
,,,,,"East (E12000006)",187870,0.00,,
,,,,,"London (E12000007)",192585,0.00,,
,,,,,"South East (E12000008)",287756,0.00,,
,,,,,"South West (E12000009)",219117,0.00,,
,,,,,"Wales (W92000004)",117778,0.00,,
,,,,,"Scotland (S92000003)",173349,0.00,,
,,,,,"Northern Ireland (N92000002)",71433,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",137725,0.00,,
,,,,,"North West (E12000002)",265550,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",211816,0.00,,
,,,,,"East Midlands (E12000004)",169933,0.00,,
,,,,,"West Midlands (E12000005)",272869,0.00,,
,,,,,"East (E12000006)",170742,0.00,,
,,,,,"London (E12000007)",289844,0.00,,
,,,,,"South East (E12000008)",216812,0.00,,
,,,,,"South West (E12000009)",164038,0.00,,
,,,,,"Wales (W92000004)",141099,0.00,,
,,,,,"Scotland (S92000003)",201172,0.00,,
,,,,,"Northern Ireland (N92000002)",80298,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",66700,0.00,,
,,,,,"North West (E12000002)",168667,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",82609,0.00,,
,,,,,"East Midlands (E12000004)",126605,0.00,,
,,,,,"West Midlands (E12000005)",146842,0.00,,
,,,,,"East (E12000006)",82463,0.00,,
,,,,,"London (E12000007)",186655,0.00,,
,,,,,"South East (E12000008)",111943,0.00,,
,,,,,"South West (E12000009)",82062,0.00,,
,,,,,"Wales (W92000004)",51268,0.00,,
,,,,,"Scotland (S92000003)",151906,0.00,,
,,,,,"Northern Ireland (N92000002)",27790,0.00,,
,,,,"All rented privately","North East (E12000001)",15230,0.00,,
,,,,,"North West (E12000002)",104708,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",70144,0.00,,
,,,,,"East Midlands (E12000004)",49681,0.00,,
,,,,,"West Midlands (E12000005)",58517,0.00,,
,,,,,"East (E12000006)",41161,0.00,,
,,,,,"London (E12000007)",119393,0.00,,
,,,,,"South East (E12000008)",83866,0.00,,
,,,,,"South West (E12000009)",71373,0.00,,
,,,,,"Wales (W92000004)",47574,0.00,,
,,,,,"Scotland (S92000003)",58611,0.00,,
,,,,,"Northern Ireland (N92000002)",19559,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",2235,0.00,,
,,,,,"London (E12000007)",1085,0.00,,
,,,,,"South East (E12000008)",1576,0.00,,
,,,,,"South West (E12000009)",3900,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",1613,0.00,,
,,,,,"Northern Ireland (N92000002)",1074,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",206672,0.00,,
,,,,,"North West (E12000002)",284583,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",234082,0.00,,
,,,,,"East Midlands (E12000004)",170805,0.00,,
,,,,,"West Midlands (E12000005)",218598,0.00,,
,,,,,"East (E12000006)",124847,0.00,,
,,,,,"London (E12000007)",374033,0.00,,
,,,,,"South East (E12000008)",149223,0.00,,
,,,,,"South West (E12000009)",117420,0.00,,
,,,,,"Wales (W92000004)",143672,0.00,,
,,,,,"Scotland (S92000003)",324777,0.00,,
,,,,,"Northern Ireland (N92000002)",60448,0.00,,
,,,,"All rented privately","North East (E12000001)",28217,0.00,,
,,,,,"North West (E12000002)",40268,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",50520,0.00,,
,,,,,"East Midlands (E12000004)",40329,0.00,,
,,,,,"West Midlands (E12000005)",28403,0.00,,
,,,,,"East (E12000006)",19669,0.00,,
,,,,,"London (E12000007)",56220,0.00,,
,,,,,"South East (E12000008)",13975,0.00,,
,,,,,"South West (E12000009)",34978,0.00,,
,,,,,"Wales (W92000004)",36381,0.00,,
,,,,,"Scotland (S92000003)",14473,0.00,,
,,,,,"Northern Ireland (N92000002)",28320,0.00,,
"2003-04 (cpi, r)","Not in low income (at or above threshold)","Not in low income (at or above threshold)","Not in receipt","Owned outright","North East (E12000001)",440990,0.00,,
,,,,,"North West (E12000002)",1367607,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",940391,0.00,,
,,,,,"East Midlands (E12000004)",849089,0.00,,
,,,,,"West Midlands (E12000005)",1068252,0.00,,
,,,,,"East (E12000006)",1094410,0.00,,
,,,,,"London (E12000007)",1182815,0.00,,
,,,,,"South East (E12000008)",1671064,0.00,,
,,,,,"South West (E12000009)",1099198,0.00,,
,,,,,"Wales (W92000004)",648015,0.00,,
,,,,,"Scotland (S92000003)",885233,0.00,,
,,,,,"Northern Ireland (N92000002)",349700,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",1066781,0.00,,
,,,,,"North West (E12000002)",2835199,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",1993817,0.00,,
,,,,,"East Midlands (E12000004)",1790518,0.00,,
,,,,,"West Midlands (E12000005)",2158274,0.00,,
,,,,,"East (E12000006)",2336759,0.00,,
,,,,,"London (E12000007)",2492011,0.00,,
,,,,,"South East (E12000008)",3580351,0.00,,
,,,,,"South West (E12000009)",1965584,0.00,,
,,,,,"Wales (W92000004)",1083255,0.00,,
,,,,,"Scotland (S92000003)",2142414,0.00,,
,,,,,"Northern Ireland (N92000002)",727723,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",163927,0.00,,
,,,,,"North West (E12000002)",336895,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",310309,0.00,,
,,,,,"East Midlands (E12000004)",201591,0.00,,
,,,,,"West Midlands (E12000005)",276044,0.00,,
,,,,,"East (E12000006)",280337,0.00,,
,,,,,"London (E12000007)",464483,0.00,,
,,,,,"South East (E12000008)",407810,0.00,,
,,,,,"South West (E12000009)",245147,0.00,,
,,,,,"Wales (W92000004)",169574,0.00,,
,,,,,"Scotland (S92000003)",398825,0.00,,
,,,,,"Northern Ireland (N92000002)",59448,0.00,,
,,,,"All rented privately","North East (E12000001)",63388,0.00,,
,,,,,"North West (E12000002)",210902,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",240080,0.00,,
,,,,,"East Midlands (E12000004)",225279,0.00,,
,,,,,"West Midlands (E12000005)",238361,0.00,,
,,,,,"East (E12000006)",389024,0.00,,
,,,,,"London (E12000007)",778658,0.00,,
,,,,,"South East (E12000008)",590900,0.00,,
,,,,,"South West (E12000009)",365019,0.00,,
,,,,,"Wales (W92000004)",127940,0.00,,
,,,,,"Scotland (S92000003)",189938,0.00,,
,,,,,"Northern Ireland (N92000002)",69823,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",973,0.00,,
,,,,,"North West (E12000002)",713,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",1046,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",742,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",1316,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",3257,0.00,,
,,,,,"South East (E12000008)",1394,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",1139,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",141285,0.00,,
,,,,,"North West (E12000002)",273299,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",203403,0.00,,
,,,,,"East Midlands (E12000004)",141526,0.00,,
,,,,,"West Midlands (E12000005)",179487,0.00,,
,,,,,"East (E12000006)",163092,0.00,,
,,,,,"London (E12000007)",252840,0.00,,
,,,,,"South East (E12000008)",211061,0.00,,
,,,,,"South West (E12000009)",137764,0.00,,
,,,,,"Wales (W92000004)",97602,0.00,,
,,,,,"Scotland (S92000003)",250547,0.00,,
,,,,,"Northern Ireland (N92000002)",70329,0.00,,
,,,,"All rented privately","North East (E12000001)",12214,0.00,,
,,,,,"North West (E12000002)",56650,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",29237,0.00,,
,,,,,"East Midlands (E12000004)",16507,0.00,,
,,,,,"West Midlands (E12000005)",20373,0.00,,
,,,,,"East (E12000006)",21551,0.00,,
,,,,,"London (E12000007)",41626,0.00,,
,,,,,"South East (E12000008)",44911,0.00,,
,,,,,"South West (E12000009)",20856,0.00,,
,,,,,"Wales (W92000004)",10104,0.00,,
,,,,,"Scotland (S92000003)",17955,0.00,,
,,,,,"Northern Ireland (N92000002)",17055,0.00,,
,,"In low income (below threshold)","Not in receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",2590,0.00,,
,,,,,"South East (E12000008)",2130,0.00,,
,,,,,"South West (E12000009)",2582,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",566,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",9966,0.00,,
,,,,,"North West (E12000002)",44264,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",52099,0.00,,
,,,,,"East Midlands (E12000004)",20079,0.00,,
,,,,,"West Midlands (E12000005)",60918,0.00,,
,,,,,"East (E12000006)",64512,0.00,,
,,,,,"London (E12000007)",85905,0.00,,
,,,,,"South East (E12000008)",124223,0.00,,
,,,,,"South West (E12000009)",83866,0.00,,
,,,,,"Wales (W92000004)",20532,0.00,,
,,,,,"Scotland (S92000003)",17947,0.00,,
,,,,,"Northern Ireland (N92000002)",7208,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",7405,0.00,,
,,,,,"North West (E12000002)",54186,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",38007,0.00,,
,,,,,"East Midlands (E12000004)",36375,0.00,,
,,,,,"West Midlands (E12000005)",41242,0.00,,
,,,,,"East (E12000006)",33057,0.00,,
,,,,,"London (E12000007)",83682,0.00,,
,,,,,"South East (E12000008)",79317,0.00,,
,,,,,"South West (E12000009)",46737,0.00,,
,,,,,"Wales (W92000004)",19260,0.00,,
,,,,,"Scotland (S92000003)",36691,0.00,,
,,,,,"Northern Ireland (N92000002)",4992,0.00,,
,,,,"All rented privately","North East (E12000001)",4825,0.00,,
,,,,,"North West (E12000002)",50752,0.00,,
